your_team
"ヒスイドレディア,ハバタクカミ,パオジアン,ヒスイウォーグル,ドラパルト,ヒードラン"
"ガチグマ赫月,ギャラドス,イイネイヌ,クエスパトラ,炎オーガポン,カバルドン"
"ガチグマ赫月,ギャラドス,トドロクツキ,クエスパトラ,岩オーガポン,エルレイド"
"キノガッサ,ハバタクカミ,サーフゴー,ヘイラッシャ,ヌメルゴン,ミミズズ"
"ヒスイドレディア,ハバタクカミ,パオジアン,ウォッシュロトム,ドラパルト,ヒードラン"
"炎オーガポン,ハバタクカミ,ハッサム,ヒスイドレディア,バサギリ,ノココッチ"
"キノガッサ,ミミズズ,ハバタクカミ,サーフゴー,ヘイラッシャ,ヌメルゴン"
"キノガッサ,ミミズズ,テツノドクガ,サーフゴー,ヘイラッシャ,ヌメルゴン"
"エルレイド,マリルリ,ハバタクカミ,ジバコイル,ミミズズ,パオジアン"
"ガチグマ赫月,テツノワダチ,ディンルー,キノガッサ,ギャラドス,イーユイ"
"イーユイ,ハバタクカミ,ジバコイル,ミミズズ,マリルリ,コノヨザル"
"フワライド,サーフゴー,ヘイラッシャ,ハッサム,ヌメルゴン,テツノドクガ"
"ガチグマ赫月,テツノワダチ,炎オーガポン,ギャラドス,クエスパトラ,イーユイ"
"エルレイド,ハバタクカミ,カイリュー,ジバコイル,オノノクス,パオジアン"
"ギャラドス,テツノワダチ,ウーラオス,アシレーヌ,グランブル,オーガポン"
"エルレイド,ハバタクカミ,ジバコイル,ミミズズ,アラブルタケ,パオジアン"
"ギャラドス,テツノワダチ,ウーラオス,アシレーヌ,グランブル,岩オーガポン"
"アーマーガア,ウーラオス,ママンボウ,炎オーガポン,キラフロル,クワガノン"
"キノガッサ,ハバタクカミ,サーフゴー,ヌメルゴン,ミミズズ,テツノドクガ"
"エルレイド,ジバコイル,オノノクス,パオジアン,ウォッシュロトム,ハバタクカミ"
"アーマーガア,ウーラオス,ミミズズ,炎オーガポン,キラフロル,クワガノン"
"ガチグマ赫月,テツノワダチ,ディンルー,ギャラドス,クエスパトラ,イーユイ"
"ヒスイドレディア,ノココッチ,ヒードラン,ハバタクカミ,パオジアン,ウォッシュロトム"
"フワライド,サーフゴー,ヌメルゴン,テツノドクガ,キノガッサ,ミミズズ"
"カイリュー,ヒードラン,ヒスイドレディア,ドラパルト,ハバタクカミ,サーフゴー"
"エルレイド,ジバコイル,オノノクス,パオジアン,ハバタクカミ,ウォッシュロトム"
"ウーラオス,クワガノン,炎オーガポン,キラフロル,アーマーガア,トドロクツキ"
"ガチグマ赫月,ギャラドス,イイネイヌ,クエスパトラ,ディンルー,エルレイド"
